x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4,bluetooch5,bluetooch6
1,1,1x1y,-71.9267,-84.4449,-93.9491,-91.8339,-93.5726,-96.2303
1,1,1x1y,-73.8221,-85.1637,-94.2016,-94.6753,-92.1131,-96.0512
1,1,1x1y,-73.3294,-84.0477,-92.9925,-92.3159,-92.778,-95.647
1,1,1x1y,-72.3641,-85.5658,-93.2858,-91.8061,-95.1943,-95.3615
1,1,1x1y,-72.9274,-84.5184,-92.0385,-93.6893,-93.297,-97.0461
1,2,1x2y,-77.296,-85.8476,-94.1046,-91.1981,-92.0579,-94.6593
1,2,1x2y,-76.057,-83.2315,-93.3198,-93.0839,-93.7099,-97.5755
1,2,1x2y,-78.4114,-83.7778,-93.1374,-92.2893,-89.9577,-94.9786
1,2,1x2y,-77.6905,-83.8917,-93.7179,-91.112,-90.7289,-98.3641
1,2,1x2y,-75.3663,-85.254,-92.2876,-92.2287,-91.2573,-95.2965
1,3,1x3y,-78.8771,-82.2372,-93.6266,-90.9223,-92.6639,-95.2165
1,3,1x3y,-81.0629,-83.474,-92.2356,-91.6607,-91.4168,-95.8602
1,3,1x3y,-80.7407,-84.2592,-92.8377,-91.0907,-92.9643,-96.5333
1,3,1x3y,-80.4714,-83.1166,-91.4539,-90.9474,-92.1877,-95.2266
1,3,1x3y,-79.1385,-84.2801,-92.9217,-90.6556,-91.5512,-95.5854
1,4,1x4y,-81.8088,-82.5228,-92.3519,-90.5139,-91.2618,-94.5576
1,4,1x4y,-81.3078,-83.4346,-93.4923,-91.5262,-90.2588,-94.143
1,4,1x4y,-83.4081,-83.8737,-93.9082,-89.63,-91.2761,-97.3459
1,4,1x4y,-83.7054,-83.7191,-95.5219,-90.0035,-93.0112,-97.5223
1,4,1x4y,-81.0071,-81.5082,-93.2945,-91.9403,-89.9197,-96.0167
1,5,1x5y,-85.0428,-81.1148,-91.279,-91.6302,-89.2819,-94.9245
1,5,1x5y,-86.025,-81.7915,-93.2866,-91.1905,-92.0682,-92.9202
1,5,1x5y,-83.2091,-81.4147,-92.4318,-91.4525,-90.9905,-95.6152
1,5,1x5y,-82.7241,-81.7489,-93.0591,-88.4877,-90.3737,-95.1325
1,5,1x5y,-84.3664,-82.1231,-93.0103,-88.1599,-89.6967,-95.348
1,6,1x6y,-86.3994,-83.2353,-92.1074,-88.7321,-88.8918,-93.7757
1,6,1x6y,-85.948,-81.2767,-93.0754,-89.5992,-89.7031,-93.5447
1,6,1x6y,-86.5275,-82.5123,-92.4767,-89.8221,-90.4496,-92.5267
1,6,1x6y,-86.6879,-82.0769,-93.2333,-90.2476,-88.0102,-93.0781
1,6,1x6y,-85.2561,-82.4017,-91.2511,-88.6869,-88.0824,-94.4482
1,7,1x7y,-87.9687,-83.8306,-92.4149,-88.4072,-90.0256,-93.7786
1,7,1x7y,-87.5667,-82.4328,-92.3217,-88.4522,-90.1122,-93.5618
1,7,1x7y,-85.9048,-83.2118,-90.9164,-92.1656,-89.562,-94.7048
1,7,1x7y,-86.3691,-81.9884,-93.1807,-89.1594,-89.2868,-92.3806
1,7,1x7y,-86.574,-80.7774,-91.984,-89.4761,-90.8015,-93.9881
1,8,1x8y,-86.8715,-84.7916,-93.3213,-90.5241,-89.7578,-94.8366
1,8,1x8y,-89.2113,-82.6858,-92.9342,-90.6115,-89.1211,-93.6907
1,8,1x8y,-86.1833,-83.3733,-93.1349,-90.0068,-89.2244,-93.3255
1,8,1x8y,-90.0493,-83.7275,-94.2513,-88.349,-87.4785,-92.4779
1,8,1x8y,-88.0543,-82.1072,-92.4251,-88.4487,-89.201,-95.145
1,9,1x9y,-89.3516,-86.3744,-92.2743,-89.0696,-88.3858,-93.9003
1,9,1x9y,-86.9579,-84.6567,-93.8389,-89.4825,-87.4758,-93.3869
1,9,1x9y,-86.9241,-84.4434,-93.6597,-89.5209,-87.3076,-94.2893
1,9,1x9y,-90.2159,-85.1597,-92.3331,-88.3149,-86.0526,-91.7115
1,9,1x9y,-87.4772,-85.7678,-93.453,-89.7863,-87.7521,-93.6617
1,10,1x10y,-88.8184,-85.2489,-94.7868,-88.6671,-87.0088,-93.4621
1,10,1x10y,-92.2156,-86.6232,-92.9475,-89.1363,-86.6359,-92.8344
1,10,1x10y,-89.5827,-87.2599,-91.5344,-89.655,-86.4252,-93.1663
1,10,1x10y,-90.1045,-87.482,-93.0934,-89.5365,-84.8844,-95.3614
1,10,1x10y,-89.3097,-85.004,-92.8384,-90.3998,-86.6488,-94.1777
1,11,1x11y,-90.5451,-87.8988,-93.9784,-88.9941,-83.4677,-91.4522
1,11,1x11y,-90.4777,-86.3789,-94.1388,-89.2696,-84.8512,-91.2446
1,11,1x11y,-89.8132,-86.9242,-94.2105,-89.5957,-84.8535,-93.306
1,11,1x11y,-90.6362,-88.0467,-92.1765,-90.0956,-82.7976,-93.6645
