x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4,bluetooch5,bluetooch6
1,1,1x1y,-52.356,-69.5511,-92.6347,-89.9763,-85.4968,-97.9943
1,1,1x1y,-53.2098,-73.7245,-94.9458,-89.8389,-90.9915,-94.8735
1,1,1x1y,-54.2714,-75.3072,-85.8257,-88.5007,-89.6877,-94.7351
1,1,1x1y,-52.3498,-72.2206,-92.6992,-90.7582,-94.9745,-95.2454
1,1,1x1y,-50.1381,-73.5786,-90.8152,-89.0997,-88.3903,-99.2073
1,2,1x2y,-58.478,-73.6195,-89.1949,-91.1988,-87.3961,-97.5386
1,2,1x2y,-63.0174,-70.5827,-88.7471,-92.983,-85.2658,-101.5276
1,2,1x2y,-59.7176,-75.3831,-86.5775,-94.381,-84.8967,-91.0739
1,2,1x2y,-60.6763,-69.8898,-96.3362,-83.6486,-84.2883,-100.6034
1,2,1x2y,-62.1582,-72.692,-87.1123,-82.5433,-92.7371,-97.9092
1,3,1x3y,-68.3666,-74.356,-95.8572,-80.4292,-88.0868,-96.3623
1,3,1x3y,-66.6227,-73.7299,-94.1719,-85.7825,-84.1026,-96.8751
1,3,1x3y,-65.9745,-70.3325,-86.5047,-91.4174,-94.3993,-94.0042
1,3,1x3y,-63.3675,-72.6657,-91.5847,-89.6983,-87.7135,-96.3681
1,3,1x3y,-64.5704,-71.9186,-95.4688,-93.2799,-85.7465,-90.86
1,4,1x4y,-72.2537,-69.5442,-93.1031,-91.8102,-87.5392,-101.1747
1,4,1x4y,-69.0993,-71.4743,-93.6246,-81.39,-82.2527,-98.7477
1,4,1x4y,-67.8146,-72.6599,-87.4843,-88.2689,-88.6339,-87.2538
1,4,1x4y,-69.8235,-71.7708,-88.5257,-87.3994,-86.8454,-96.9813
1,4,1x4y,-70.9679,-66.1075,-91.7104,-85.5219,-86.9318,-90.1828
1,5,1x5y,-73.8613,-70.0619,-88.0796,-84.2702,-83.0498,-92.4502
1,5,1x5y,-73.6746,-64.78,-88.0305,-84.5755,-87.1934,-93.1249
1,5,1x5y,-74.3987,-75.0968,-86.4632,-92.0622,-80.3524,-97.8299
1,5,1x5y,-76.2875,-73.1497,-85.9898,-80.8913,-88.9776,-97.7753
1,5,1x5y,-76.6241,-71.9402,-90.5107,-87.1224,-89.4367,-95.4961
1,6,1x6y,-77.6415,-72.0645,-86.9474,-81.3047,-90.791,-85.8785
1,6,1x6y,-73.2623,-69.1756,-87.8217,-85.3477,-90.4683,-92.835
1,6,1x6y,-75.1231,-72.7036,-91.7676,-80.9293,-88.9388,-89.841
1,6,1x6y,-74.7463,-72.9716,-94.9011,-83.7593,-80.1748,-91.1326
1,6,1x6y,-71.8775,-70.1711,-89.4927,-85.2399,-81.2809,-91.1199
1,7,1x7y,-77.8587,-69.2246,-91.103,-80.0846,-82.617,-85.9402
1,7,1x7y,-80.3279,-69.8646,-87.142,-87.7637,-83.5036,-91.182
1,7,1x7y,-79.6376,-73.7092,-90.0561,-84.7269,-88.2632,-94.5402
1,7,1x7y,-75.3886,-75.3904,-86.1574,-85.9097,-79.234,-92.9602
1,7,1x7y,-76.0768,-72.7013,-91.082,-80.4076,-83.2136,-88.3586
1,8,1x8y,-83.4243,-70.8849,-89.5407,-79.547,-80.1984,-91.1434
1,8,1x8y,-82.4757,-70.0899,-92.3383,-82.6974,-80.0123,-96.5058
1,8,1x8y,-75.8775,-71.8173,-92.1961,-84.8572,-79.8753,-97.889
1,8,1x8y,-78.7468,-69.1253,-87.8726,-84.5217,-82.9745,-98.2016
1,8,1x8y,-76.6745,-74.1071,-91.5254,-86.9522,-83.7043,-82.0507
1,9,1x9y,-84.5272,-77.3244,-95.8736,-87.8825,-75.0568,-87.3821
1,9,1x9y,-78.0486,-78.0604,-95.6967,-78.719,-83.4754,-89.4533
1,9,1x9y,-77.4526,-79.8106,-90.2329,-88.188,-73.7149,-87.3043
1,9,1x9y,-87.5651,-72.5752,-92.7155,-84.7915,-76.8638,-90.1033
1,9,1x9y,-87.3429,-73.7853,-92.9944,-80.1137,-77.0682,-90.0081
1,10,1x10y,-90.5797,-78.5451,-91.1521,-85.1185,-71.4623,-90.2758
